"","value","anomaly"
"1",2.72744077128393,"0"
"2",2.17640778550183,"0"
"3",2.7100102955694,"0"
"4",3.54123970033861,"0"
"5",4.39986431606703,"0"
"6",3.84517683418121,"0"
"7",2.29207229169162,"0"
"8",3.83484280337638,"0"
"9",2.89240385953751,"0"
"10",2.53292665914162,"0"
"11",2.5119543565076,"0"
"12",3.08407971340714,"0"
"13",2.24511160951839,"0"
"14",2.63137634827154,"0"
"15",2.97623629434248,"0"
"16",2.27189103930951,"0"
"17",3.41178209661356,"0"
"18",3.7075825366724,"0"
"19",3.13946928946031,"0"
"20",2.49729341429618,"0"
"21",2.61061782361348,"0"
"22",3.71940571435846,"0"
"23",3.0170458061396,"0"
"24",2.78696436085429,"0"
"25",2.2065328416176,"0"
"26",1.81093051508553,"0"
"27",2.04516455350087,"0"
"28",2.362664827071,"0"
"29",1.9455707079409,"0"
"30",2.70565106874804,"0"
"31",2.65404339389184,"0"
"32",1.80814276050237,"0"
"33",1.91671039457938,"0"
"34",2.45597724406638,"0"
"35",1.8066205173258,"0"
"36",2.60740506360752,"0"
"37",0.784935423276084,"0"
"38",1.67988694307665,"0"
"39",1.4204853128322,"0"
"40",1.18999433749799,"0"
"41",1.20944415522903,"0"
"42",1.71733021615353,"0"
"43",1.33883359189573,"0"
"44",1.28872624225184,"0"
"45",1.40564643979384,"0"
"46",1.92314240517509,"0"
"47",2.21830621589389,"0"
"48",1.46984718865725,"0"
"49",1.02486006198726,"0"
"50",1.70167577621115,"0"
"51",1.34030295511062,"0"
"52",0.600301380231461,"0"
"53",0.933174315126144,"0"
"54",0.391427248174457,"0"
"55",1.33883199020505,"0"
"56",0.775564765768548,"0"
"57",1.08411110999344,"0"
"58",1.07693695844412,"0"
"59",-0.133175817988323,"0"
"60",0.551346647452264,"0"
"61",1.34767071466859,"0"
"62",2.00586040335685,"0"
"63",0.319622478801421,"0"
"64",0.895038749278597,"0"
"65",1.11116412395675,"0"
"66",0.48269759982586,"0"
"67",0.323774846986283,"0"
"68",1.08475454851246,"0"
"69",0.968100950511769,"0"
"70",0.883637849346155,"0"
"71",-0.0464116090352735,"0"
"72",0.0845098732470322,"0"
"73",1.31274727912365,"0"
"74",0.647162020739213,"0"
"75",-0.189536406557776,"0"
"76",1.16145693049614,"0"
"77",-0.0934633125656731,"0"
"78",2.203499399684,"1"
"79",0.0333034720369305,"0"
"80",0.338797923166984,"0"
"81",1.14164976972867,"0"
"82",0.563945851052904,"0"
"83",-0.293197421982739,"0"
"84",-1.29117821393901,"0"
"85",-0.0839045596244887,"0"
"86",-0.113279664172613,"0"
"87",-0.196982540497071,"0"
"88",-0.295720484755161,"0"
"89",-0.0485936555163053,"0"
"90",-0.0409870878618426,"0"
"91",-0.494567605468551,"0"
"92",-0.476015812432009,"0"
"93",-0.9099682338021,"0"
"94",-0.660129578370554,"0"
"95",-1.17813450264283,"0"
"96",-0.215868166585827,"0"
"97",-0.649388995204516,"0"
"98",-0.673298026906886,"0"
"99",0.0449200838227111,"0"
"100",-0.746466206356144,"0"
"101",-1.30786452532747,"0"
"102",-0.766790819834444,"0"
"103",-1.37083729844524,"0"
"104",-1.2330200936713,"0"
"105",-1.93810414767278,"0"
"106",-0.957111600355189,"0"
"107",-0.798875006126238,"0"
"108",-1.12064302489957,"0"
"109",-0.933747668324378,"0"
"110",-1.37015461303531,"0"
"111",-1.49264442430639,"0"
"112",-2.19107238201016,"0"
"113",-2.2527570782694,"0"
"114",-0.952094501382957,"0"
"115",-2.61888579593106,"0"
"116",-1.72256370625272,"0"
"117",-1.49922884200631,"0"
"118",-1.92129094939188,"0"
"119",-1.73359476678892,"0"
"120",-1.96388993921543,"0"
"121",-1.37884898310712,"0"
"122",-2.24314811859532,"0"
"123",-1.24278711087863,"0"
"124",-1.8292251488978,"0"
"125",-1.47380549025177,"0"
"126",-2.17966345117813,"0"
"127",-2.06020742381118,"0"
"128",-2.96685406504891,"0"
"129",-1.56808974753375,"0"
"130",-2.5493683226024,"0"
"131",-2.1104246588499,"0"
"132",-2.87587437564877,"0"
"133",-1.94200148010054,"0"
"134",-1.17693428861273,"0"
"135",-1.90318691749296,"0"
"136",-2.03279527709045,"0"
"137",-2.08136059718573,"0"
"138",-6.7510821239071,"1"
"139",-2.41391677531578,"0"
"140",-3.22013383027592,"0"
"141",-2.87238716128598,"0"
"142",-2.28911861369972,"0"
"143",-2.71369765321294,"0"
"144",-3.02500954768072,"0"
"145",-3.12505061630993,"0"
"146",-3.23267988564146,"0"
"147",-2.55961732932532,"0"
"148",-3.5803178437787,"0"
"149",-3.24932184594439,"0"
"150",-3.11574104336295,"0"
"151",-4.05058841507435,"0"
"152",-3.62984142002242,"0"
"153",-3.205132063256,"0"
"154",0.316772932857866,"1"
"155",-3.42492849279003,"0"
"156",-3.92615361776626,"0"
"157",-3.72778494941733,"0"
"158",-4.14504327614478,"0"
"159",-3.05918753772408,"0"
"160",-4.07065117054242,"0"
"161",-3.42051571039961,"0"
"162",-2.57663496445791,"0"
"163",-3.81203585613776,"0"
"164",-3.34765133124554,"0"
"165",-2.81655923741267,"0"
"166",-3.16826859121929,"0"
"167",-4.37709390541471,"0"
"168",-3.58451576567922,"0"
"169",-3.68599699363521,"0"
"170",-3.05456783171035,"0"
"171",-3.49518093388183,"0"
"172",-4.06899589410679,"0"
"173",-3.52229100597084,"0"
"174",-4.50529160942232,"0"
"175",-3.91664165174441,"0"
"176",-4.98283884805094,"0"
"177",-4.93131080727543,"0"
"178",-3.82275533855593,"0"
"179",-4.25133305848366,"0"
"180",-4.11417072690814,"0"
"181",-4.76210903461247,"0"
"182",-3.88164156192412,"0"
"183",-2.86953542897385,"0"
"184",-3.7366418838437,"0"
"185",-4.16519912249714,"0"
"186",-3.88820199303856,"0"
"187",-4.28338014201102,"0"
"188",-3.76849253593468,"0"
"189",-4.6173147457697,"0"
"190",-3.86758289015433,"0"
"191",-4.34221171438903,"0"
"192",-4.07136493922628,"0"
"193",-4.94056521056832,"0"
"194",-4.95041003019718,"0"
"195",-3.90924581155426,"0"
"196",-4.12592994099831,"0"
"197",-4.74416781072283,"0"
"198",-4.67893561758491,"0"
"199",-4.29049990493604,"0"
"200",-4.04309554703384,"0"
"201",-4.46427955770548,"0"
"202",-4.15939906650779,"0"
"203",-4.30438947938634,"0"
"204",-4.15956674064178,"0"
"205",-5.11583136134263,"0"
"206",-4.14192616477764,"0"
"207",-4.85884295355837,"0"
